Freq (hertz)	Ra (norm)	Xa (norm)	Za (norm)	SPL (dB)	Ze (ohms)	Xd (mm) 	WPhase (deg)	UPhase (deg)	CPhase (deg)	Delay (msec)	Efficiency (%)	Ein (volts)	Pin (watts)	Iin (amps)	ZePhase (deg)
49.619476	0.001725	0.049820	0.049850	84.398223	12.828656	1.907813	116.269035	116.269035	116.269035	4.093045	0.444056	2.830000	0.375906	0.220600	52.977723
50.334221	0.001775	0.050536	0.050568	84.601523	13.300975	1.897938	115.216134	115.216134	115.216134	4.090649	0.488628	2.830000	0.357988	0.212766	53.520404
51.059262	0.001826	0.051263	0.051295	84.802276	13.820254	1.887562	114.148902	114.148902	114.148902	4.086636	0.538222	2.830000	0.340377	0.204772	54.030214
51.794747	0.001879	0.052000	0.052034	85.000382	14.393145	1.876670	113.067583	113.067583	113.067583	4.080925	0.593420	2.830000	0.323125	0.196621	54.500076
52.540826	0.001934	0.052747	0.052783	85.195743	15.027553	1.865252	111.972460	111.972460	111.972460	4.073439	0.654854	2.830000	0.306284	0.188321	54.921515
53.297652	0.001990	0.053506	0.053543	85.388261	15.732941	1.853298	110.863852	110.863852	110.863852	4.064104	0.723203	2.830000	0.289908	0.179877	55.284310
54.065379	0.002047	0.054275	0.054313	85.577838	16.520708	1.840797	109.742120	109.742120	109.742120	4.052848	0.799182	2.830000	0.274052	0.171300	55.576039
54.844166	0.002107	0.055055	0.055095	85.764378	17.404680	1.827741	108.607663	108.607663	108.607663	4.039604	0.883523	2.830000	0.258770	0.162600	55.781473
55.634170	0.002168	0.055846	0.055888	85.947786	18.401745	1.814125	107.460922	107.460922	107.460922	4.024311	0.976948	2.830000	0.244119	0.153790	55.881760
56.435554	0.002231	0.056648	0.056692	86.127969	19.532667	1.799942	106.302378	106.302378	106.302378	4.006914	1.080126	2.830000	0.230153	0.144885	55.853329
57.248482	0.002295	0.057462	0.057508	86.304838	20.823135	1.785190	105.132552	105.132552	105.132552	3.987364	1.193614	2.830000	0.216927	0.135907	55.666371
58.073119	0.002362	0.058288	0.058336	86.478305	22.305093	1.769865	103.952005	103.952005	103.952005	3.965619	1.317776	2.830000	0.204495	0.126877	55.282752
58.909635	0.002430	0.059126	0.059175	86.648286	24.018359	1.753969	102.761336	102.761336	102.761336	3.941646	1.452683	2.830000	0.192909	0.117827	54.653085
59.758201	0.002501	0.059975	0.060027	86.814704	26.012475	1.737503	101.561184	101.561184	101.561184	3.915422	1.597985	2.830000	0.182218	0.108794	53.712631
60.618990	0.002573	0.060837	0.060891	86.977482	28.348448	1.720471	100.352222	100.352222	100.352222	3.886931	1.752772	2.830000	0.172471	0.099829	52.375561
61.492178	0.002648	0.061710	0.061767	87.136552	31.099374	1.702879	99.135160	99.135160	99.135160	3.856169	1.915432	2.830000	0.163713	0.090999	50.527063
62.377944	0.002725	0.062597	0.062656	87.291849	34.347396	1.684736	97.910739	97.910739	97.910739	3.823140	2.083526	2.830000	0.155984	0.082393	48.013023
63.276469	0.002804	0.063496	0.063558	87.443316	38.170845	1.666052	96.679729	96.679729	96.679729	3.787862	2.253719	2.830000	0.149323	0.074140	44.628183
64.187937	0.002885	0.064408	0.064472	87.590900	42.608399	1.646840	95.442930	95.442930	95.442930	3.750360	2.421801	2.830000	0.143763	0.066419	40.107601
